|WXLU        |88.1  MHz |FM |201 |ND  |-                   |C3 |-  |LIC    |PERU                     |NY |US |BLED-20060707ABU    |1.     kW |1.     kW |341.0   |341.0   |66428      |N |44 |34 |25.1  |W |73  |40 |27.5  |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |646.   m|646.0  m|-         |-       |-       |31.    m|1139159   |a68286bb2d0749188751c1b6063ebeb7        |
|W201DQ      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |UTICA                    |NY |US |BLFT-20190508AAE    |0.01   kW |0.01   kW |0.0     |0.0     |139047     |N |43 |2  |15.3  |W |75  |11 |43.6  |NORTHEAST GOSPEL BROADCASTING INC                                           |   0.00 km |   0.00 mi |  0.00 deg |463.   m|463.0  m|133497    |290.    |1253558 |30.    m|1804385   |7ae405f6b0114b188087c1b6063ebeb7        |
|WARY        |88.1  MHz |FM |201 |DA  |-                   |D  |-  |LIC    |VALHALLA                 |NY |US |BLED-19890913KA     |0.042  kW |0.039  kW |123.0   |123.0   |71709      |N |41 |4  |13.3  |W |73  |47 |23.4  |WESTCHESTER COMMUNITY COLLEGE                                               |   0.00 km |   0.00 mi |  0.00 deg |201.   m|201.0  m|14833     |0.      |-       |47.    m|132990    |0a42a40bafa2428aacb3c1b6063ebeb7        |
|WKEL        |88.1  MHz |FM |201 |DA  |-                   |B1 |-  |LIC    |WEBSTER                  |NY |US |BLED-20150930ABE    |15.    kW |15.    kW |85.0    |85.0    |20953      |N |43 |4  |14.3  |W |77  |5  |33.4  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |241.5  m|241.5  m|121002    |0.      |1236651 |69.    m|1690194   |e17bcb6bbcc742a8aaebc1b6063ebeb7        |
|WCOU        |88.3  MHz |FM |202 |DA  |-                   |B  |-  |LIC    |ATTICA                   |NY |US |BLED-20100427ADF    |11.    kW |11.    kW |163.0   |163.0   |20634      |N |42 |49 |36.2  |W |78  |12 |24.0  |FAMILY LIFE MINISTRIES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |563.   m|563.0  m|95501     |0.      |1003155 |42.    m|1363655   |d06b159d1eef4e9e910fc1b6063ebeb7        |
|WCDV-FM     |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |BATH                     |NY |US |0000195516          |0.25   kW |0.25   kW |64.0    |64.0    |768386     |N |42 |21 |26.7  |W |077 |19 |16.3  |FAMILY LIFE MINISTRIES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |510.   m|510.0  m|1006197   |-       |-       |38.    m|195516    |25076f9181f47dc4018222590abc1523        |
|WVCR-FM     |88.3  MHz |FM |202 |ND  |-                   |B1 |-  |LIC    |LOUDONVILLE              |NY |US |BLED-20010404AAV    |2.8    kW |2.8    kW |256.0   |256.0   |60295      |N |42 |38 |13.3  |W |74  |0  |3.5   |SIENA COLLEGE                                                               |   0.00 km |   0.00 mi |  0.00 deg |496.   m|496.0  m|-         |-       |1004679 |32.    m|554790    |2ccaea09a648443f81c0c1b6063ebeb7        |
|WFSO        |88.3  MHz |FM |202 |DA  |-                   |A  |-  |LIC    |OLIVEBRIDGE              |NY |US |BLED-20180116ABF    |0.578  kW |0.578  kW |33.0    |33.0    |11077      |N |41 |54 |30.3  |W |74  |14 |44.5  |REDEEMER BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |354.   m|354.0  m|120338    |268.    |-       |59.    m|1776144   |ef7fe9c5e4294dce90acc1b6063ebeb7        |
|W202CI      |88.3  MHz |FX |202 |ND  |-                   |D  |-  |LIC    |RICHVILLE                |NY |US |BLFT-20160614AAV    |0.055  kW |0.055  kW |0.0     |0.0     |24619      |N |44 |20 |42.2  |W |75  |29 |12.7  |MARS HILL BROADCASTING CO., INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |179.   m|179.0  m|122655    |-       |-       |17.    m|1731316   |5d73b31889dc4163909fc1b6063ebeb7        |
|WLIW-FM     |88.3  MHz |FM |202 |ND  |-                   |B1 |-  |LIC    |SOUTHAMPTON              |NY |US |BLED-19940908KA     |5.9    kW |25.    kW |66.0    |66.0    |38340      |N |40 |53 |17.3  |W |72  |26 |41.3  |WNET                                                                        |   0.00 km |   0.00 mi |  0.00 deg |75.    m|75.0   m|-         |-       |-       |55.    m|202317    |bc8352484013411e80b9c1b6063ebeb7        |
|WLIW-FM     |88.3  MHz |FS |202 |ND  |-                   |B1 |-  |LIC    |SOUTHAMPTON              |NY |US |BXLED-20050606AEA   |1.05   kW |4.5    kW |66.0    |66.0    |38340      |N |40 |53 |17.3  |W |72  |26 |41.3  |WNET                                                                        |   0.00 km |   0.00 mi |  0.00 deg |75.    m|75.0   m|-         |-       |-       |55.    m|1067052   |1e6780b37ec842919653c1b6063ebeb7        |
|WSBU        |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |ST. BONAVENTURE          |NY |US |BLED-19820513AF     |0.165  kW |-.     kW |-78.0   |0.0     |62106      |N |42 |4  |45.2  |W |78  |29 |6.0   |ST. BONAVENTURE UNIVERSITY                                                  |   0.00 km |   0.00 mi |  0.00 deg |459.   m|0.0    m|-         |-       |-       |26.    m|42541     |869b1bcc186648f5bf36c1b6063ebeb7        |
|WAER        |88.3  MHz |FM |202 |DA  |-                   |B  |-  |LIC    |SYRACUSE                 |NY |US |BLED-19950203KA     |50.    kW |50.    kW |84.0    |84.0    |64354      |N |43 |2  |1.2   |W |76  |7  |51.7  |SYRACUSE UNIVERSITY                                                         |   0.00 km |   0.00 mi |  0.00 deg |282.   m|282.0  m|14529     |0.      |1008406 |82.    m|206163    |f8f73957fe6846d6a91bc1b6063ebeb7        |
|WXLS        |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |TUPPER LAKE              |NY |US |BLED-20091014ABQ    |0.11   kW |0.11   kW |433.0   |433.0   |175082     |N |44 |9  |34.2  |W |74  |28 |32.6  |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |967.   m|967.0  m|-         |-       |-       |8.     m|1338276   |0bfed6ecf520423096d9c1b6063ebeb7        |
|WXLS        |88.3  MHz |FM |202 |ND  |-                   |C3 |-  |CP     |TUPPER LAKE              |NY |US |0000160897          |0.4    kW |0.4    kW |433.0   |433.0   |175082     |N |44 |9  |34.2  |W |74  |28 |32.6  |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |967.   m|967.0  m|1006063   |-       |-       |8.     m|160897    |25076ff37c2e76b9017c31e7ef8001c0        |
|WANR        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |BREWSTER                 |NY |US |BLED-20130925AHA    |0.235  kW |0.235  kW |44.0    |44.0    |174780     |N |41 |23 |4.3   |W |73  |31 |55.4  |WAMC                                                                        |   0.00 km |   0.00 mi |  0.00 deg |222.   m|222.0  m|83661     |0.      |-       |10.    m|1560064   |91ffcf1242184f228422c1b6063ebeb7        |
|W203AW      |88.5  MHz |FX |203 |ND  |-                   |D  |-  |LIC    |FREDONIA                 |NY |US |BLFT-20100702CWT    |0.019  kW |0.019  kW |4.0     |0.0     |90461      |N |42 |27 |6.2   |W |79  |18 |5.2   |HOLY FAMILY COMMUNICATIONS                                                  |   0.00 km |   0.00 mi |  0.00 deg |286.   m|286.0  m|97581     |-       |1234128 |46.    m|1384937   |bceaf836c5d945518facc1b6063ebeb7        |
|WPOB        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |PLAINVIEW                |NY |US |BLED-19901102KB     |0.125  kW |0.125  kW |79.0    |79.0    |52782      |N |40 |47 |48.3  |W |73  |27 |42.4  |PLAINVIEW-OLD BETHPAGE SCHOOL DISTRICT                                      |   0.00 km |   0.00 mi |  0.00 deg |116.   m|116.0  m|13960     |0.      |-       |49.    m|154030    |9f5384b81a8e4cf780dec1b6063ebeb7        |
|WAIB-LP     |88.5  MHz |FL |203 |ND  |-                   |LP1|-  |LIC    |REDWOOD                  |NY |US |BLL-20151104GJD     |0.1    kW |0.1    kW |0.2     |0.0     |193947     |N |44 |18 |29.2  |W |75  |45 |7.8   |BETTERARTS, INC.                                                            |   0.00 km |   0.00 mi |  0.00 deg |111.   m|0.0    m|-         |-       |-       |14.    m|1697938   |b357192e1107420fbd7dc1b6063ebeb7        |
