County	Municipality	Updated	2020	2010	Percent Change	Environmental Action Communitee	Human Rights Comittee	Municipal Class	Square Miles	Website
Allegheny	East Pittsburgh Borough	2/12/2023	1927	1822	5.76289791	Unknown	Unknown			
Allegheny	Edgewood Borough	2/12/2023	3145	3118	0.8659397	Unknown	Unknown			
Allegheny	Edgeworth Borough	2/12/2023	1669	1680	-0.6547619	Unknown	Unknown			
Allegheny	Elizabeth Borough	2/12/2023	1398	1493	-6.3630275	Unknown	Unknown			
Allegheny	Elizabeth Township	2/12/2023	12982	13271	-2.1776807	Unknown	Unknown			
Allegheny	Emsworth Borough	2/12/2023	2525	2449	3.10330747	Unknown	Unknown			
Allegheny	Etna Borough	2/12/2023	3437	3451	-0.4056795	Unknown	Unknown			
Allegheny	Fawn Township	2/12/2023	2210	2376	-6.986532	Unknown	Unknown			
Allegheny	Findlay Township	2/12/2023	6372	5060	25.9288538	Unknown	Unknown			
Allegheny	Forest Hills Borough	2/12/2023	6429	6518	-1.3654495	Unknown	Unknown			
Allegheny	Forward Township	2/12/2023	3070	3376	-9.063981	Unknown	Unknown			
Allegheny	Fox Chapel Borough	2/12/2023	5343	5388	-0.8351893	Unknown	Unknown			
Allegheny	Franklin Park Borough	2/12/2023	15479	13470	14.9146251	Unknown	Unknown			
Allegheny	Frazer Township	2/12/2023	1161	1157	0.34572169	Unknown	Unknown			
Allegheny	Glassport Borough	2/12/2023	4475	4483	-0.1784519	Unknown	Unknown			
Allegheny	Glenfield Borough	2/12/2023	212	205	3.41463415	Unknown	Unknown			
Allegheny	Glen Osborne Borough	2/12/2023	590	547	7.86106033	Unknown	Unknown			
Allegheny	Green Tree Borough	2/12/2023	4941	4432	11.484657	Unknown	Unknown			
Allegheny	Hampton Township	2/12/2023	18479	18363	0.63170506	Unknown	Unknown			
Allegheny	Harmar Township	2/12/2023	3133	2921	7.25778843	Unknown	Unknown			
Allegheny	Harrison Township	2/12/2023	10157	10461	-2.9060319	Unknown	Unknown			
Allegheny	Haysville Borough	2/12/2023	81	70	15.7142857	Unknown	Unknown			
Allegheny	Heidelberg Borough	2/12/2023	1288	1244	3.53697749	Unknown	Unknown			
Allegheny	Homestead Borough	2/12/2023	2884	3165	-8.878357	Unknown	Unknown			
Allegheny	Indiana Township	2/12/2023	7254	7253	0.0137874	Unknown	Unknown			
Allegheny	Ingram Borough	2/12/2023	3391	3330	1.83183183	Unknown	Unknown			
Allegheny	Jefferson Hills Borough	2/12/2023	12424	10619	16.9978341	Unknown	Unknown			
Allegheny	Kennedy Township	2/12/2023	8701	7672	13.4124088	Unknown	Unknown			
Allegheny	Kilbuck Township	2/12/2023	773	697	10.9038737	Unknown	Unknown			
Allegheny	Leet Township	2/12/2023	1624	1634	-0.6119951	Unknown	Unknown			
Allegheny	Leetsdale Borough	2/12/2023	1162	1218	-4.5977011	Unknown	Unknown			
Allegheny	Liberty Borough	2/12/2023	2355	2551	-7.6832615	Unknown	Unknown			
Allegheny	Lincoln Borough	2/12/2023	932	1072	-13.059701	Unknown	Unknown			
Allegheny	McCandless Township	2/12/2023	29698	28457	4.36096567	Unknown	Unknown			
Allegheny	McDonald Borough	2/12/2023	396	383	3.39425587	Unknown	Unknown			
Allegheny	McKeesport City	2/12/2023	17727	19731	-10.156606	Unknown	Unknown			
Allegheny	McKees Rocks Borough	2/12/2023	5920	6104	-3.0144168	Unknown	Unknown			
Allegheny	Marshall Township	2/12/2023	10080	6915	45.7700651	Unknown	Unknown			
Allegheny	Millvale Borough	2/12/2023	3376	3744	-9.8290598	Unknown	Unknown			
Allegheny	Monroeville municipality	2/12/2023	28640	28386	0.8948073	Unknown	Unknown			
Allegheny	Moon Township	2/12/2023	27240	24185	12.6317966	Unknown	Unknown			
Allegheny	Mount Lebanon Township	2/12/2023	34075	33137	2.83067266	Unknown	Unknown			
Allegheny	Mount Oliver Borough	2/12/2023	3394	3403	-0.2644725	Unknown	Unknown			
Allegheny	Munhall Borough	2/12/2023	10774	11406	-5.5409434	Unknown	Unknown			
Allegheny	Neville Township	2/12/2023	1108	1084	2.21402214	Unknown	Unknown			
Allegheny	North Braddock Borough	2/12/2023	4320	4857	-11.056208	Unknown	Unknown			
Allegheny	North Fayette Township	2/12/2023	16167	13934	16.025549	Unknown	Unknown			
Allegheny	North Versailles Township	2/12/2023	10074	10229	-1.5152996	Unknown	Unknown			
Allegheny	Oakdale Borough	2/12/2023	1475	1459	1.09664154	Unknown	Unknown			
Allegheny	Oakmont Borough	2/12/2023	6758	6303	7.21878471	Unknown	Unknown			
Allegheny	O'Hara Township	2/12/2023	9284	8407	10.431783	Unknown	Unknown			
Allegheny	Ohio Township	2/12/2023	7178	4757	50.8934202	Unknown	Unknown			
Allegheny	Penn Hills Township	2/12/2023	41059	42329	-3.0003071	Unknown	Unknown			
Allegheny	Pennsbury Village Borough	2/12/2023	677	661	2.42057489	Unknown	Unknown			
Allegheny	Pine Township	2/12/2023	14691	11497	27.7811603	Unknown	Unknown			
Allegheny	Pitcairn Borough	2/12/2023	3101	3294	-5.8591378	Unknown	Unknown			
Allegheny	Pittsburgh City	2/12/2023	302971	305704	-0.894002	Unknown	Unknown			
Allegheny	Pleasant Hills Borough	2/12/2023	8504	8268	2.85437833	Unknown	Unknown			
Allegheny	Plum Borough	2/12/2023	27144	27126	0.066357	Unknown	Unknown			
Allegheny	Port Vue Borough	2/12/2023	3680	3798	-3.1068984	Unknown	Unknown			
Allegheny	Rankin Borough	2/12/2023	1896	2122	-10.65033	Unknown	Unknown			
Allegheny	Reserve Township	2/12/2023	3255	3333	-2.340234	Unknown	Unknown			
Allegheny	Richland Township	2/12/2023	11942	11100	7.58558559	Unknown	Unknown			
Allegheny	Robinson Township	2/12/2023	15503	13354	16.0925565	Unknown	Unknown			
Allegheny	Ross Township	2/12/2023	33567	31105	7.91512619	Unknown	Unknown			
Allegheny	Rosslyn Farms Borough	2/12/2023	441	427	3.27868852	Unknown	Unknown			
Allegheny	Scott Township	2/12/2023	17649	17024	3.67128759	Unknown	Unknown			
Allegheny	Sewickley Borough	2/12/2023	3907	3827	2.09041024	Unknown	Unknown			
Allegheny	Sewickley Heights Borough	2/12/2023	857	810	5.80246914	Unknown	Unknown			
Allegheny	Sewickley Hills Borough	2/12/2023	689	639	7.82472613	Unknown	Unknown			
Allegheny	Shaler Township	2/12/2023	28132	28757	-2.1733839	Unknown	Unknown			
Allegheny	Sharpsburg Borough	2/12/2023	3187	3446	-7.5159605	Unknown	Unknown			
Allegheny	South Fayette Township	2/12/2023	18358	14416	27.3446171	Unknown	Unknown			
Allegheny	South Park Township	2/12/2023	13727	13416	2.31812761	Unknown	Unknown			
Allegheny	South Versailles Township	2/12/2023	310	351	-11.680912	Unknown	Unknown			
Allegheny	Springdale Borough	2/12/2023	3400	3405	-0.1468429	Unknown	Unknown			
Allegheny	Springdale Township	2/12/2023	1540	1636	-5.8679707	Unknown	Unknown			
Allegheny	Stowe Township	2/12/2023	6426	6362	1.00597296	Unknown	Unknown			
Allegheny	Swissvale Borough	2/12/2023	8624	8983	-3.9964377	Unknown	Unknown			
Allegheny	Tarentum Borough	2/12/2023	4352	4530	-3.9293598	Unknown	Unknown			
Allegheny	Thornburg Borough	2/12/2023	466	455	2.41758242	Unknown	Unknown			
Allegheny	Trafford Borough	2/12/2023	90	61	47.5409836	Unknown	Unknown			
Allegheny	Turtle Creek Borough	2/12/2023	5114	5349	-4.3933446	Unknown	Unknown			
Allegheny	Upper St. Clair Township	2/12/2023	21160	19229	10.0421239	Unknown	Unknown			
Allegheny	Verona Borough	2/12/2023	2492	2474	0.72756669	Unknown	Unknown			
Allegheny	Versailles Borough	2/12/2023	1476	1515	-2.5742574	Unknown	Unknown			
Allegheny	Wall Borough	2/12/2023	519	580	-10.517241	Unknown	Unknown			
Allegheny	West Deer Township	2/12/2023	12262	11771	4.17126837	Unknown	Unknown			
Allegheny	West Elizabeth Borough	2/12/2023	403	518	-22.200772	Unknown	Unknown			
Allegheny	West Homestead Borough	2/12/2023	1872	1929	-2.9548989	Unknown	Unknown			
Allegheny	West Mifflin Borough	2/12/2023	19589	20313	-3.56422	Unknown	Unknown			
Allegheny	West View Borough	2/12/2023	6685	6771	-1.2701226	Unknown	Unknown			
Allegheny	Whitaker Borough	2/12/2023	1179	1271	-7.238395	Unknown	Unknown			
Allegheny	Whitehall Borough	2/12/2023	15064	13944	8.03212851	Unknown	Unknown			
Allegheny	White Oak Borough	2/12/2023	7630	7862	-2.9509031	Unknown	Unknown			
Allegheny	Wilkins Township	2/12/2023	6350	6357	-0.1101148	Unknown	Unknown			
Allegheny	Wilkinsburg Borough	2/12/2023	14349	15930	-9.9246704	Unknown	Unknown			
Allegheny	Wilmerding Borough	2/12/2023	1781	2190	-18.675799	Unknown	Unknown			
