County	Municipality	Updated	2020	2010	Percent Change	Environmental Action Communitee	Human Rights Comittee	Municipal Class	Square Miles	Website
Montgomery	Towamencin Township	2/12/2023	18009	17578	2.45192855	Unknown	Unknown	2nd Class Township	9.66256321	http://www.towamencin.org/
Montgomery	Trappe Borough	2/12/2023	4002	3509	14.0495868	Unknown	Unknown	Borough	2.07854287	http://trappeBorough.com/
Montgomery	Upper Dublin Township	2/12/2023	26665	25569	4.28644061	Unknown	Unknown	1st Class Township	13.27867104	http://www.upperdublin.net/
Montgomery	Upper Frederick Township	2/12/2023	3703	3523	5.10928186	Unknown	Unknown	2nd Class Township	10.09859052	http://upperfrederick.com/
Montgomery	Upper Gwynedd Township	2/12/2023	17072	15552	9.77366255	Unknown	Unknown	1st Class Township	8.12945849	http://www.uppergwynedd.org/
Montgomery	Upper Hanover Township	2/12/2023	8350	6464	29.1769802	Unknown	Unknown	2nd Class Township	21.1958106	http://upperhanoverTownship.org/
Montgomery	Upper Merion Township	2/12/2023	33613	28395	18.3764747	Unknown	Unknown	2nd Class Township	17.31516413	http://www.umTownship.org/
Montgomery	Upper Moreland Township	2/12/2023	26116	24015	8.74869873	Unknown	Unknown	1st Class Township	7.98495329	http://uppermoreland.org/
Montgomery	Upper Pottsgrove Township	2/12/2023	5870	5315	10.4421449	Unknown	Unknown	1st Class Township	5.07154472	http://www.upTownship.org/
Montgomery	Upper Providence Township	2/12/2023	24091	21219	13.5350394	Unknown	Unknown	2nd Class Township	18.21821488	http://www.uprov-montco.org/
Montgomery	Upper Salford Township	2/12/2023	3172	3299	-3.8496514	Unknown	Unknown	2nd Class Township	8.88215352	http://uppersalfordTownship.org/
Montgomery	West Conshohocken Borough	2/12/2023	1493	1320	13.1060606	Unknown	Unknown	Borough	0.86837681	http://www.westconshohockenBorough.com/
Montgomery	West Norriton Township	2/12/2023	16201	15663	3.43484645	Unknown	Unknown	1st Class Township	6.14832329	http://westnorritontwp.org/
Montgomery	West Pottsgrove Township	2/12/2023	3798	3874	-1.9617966	Unknown	Unknown	1st Class Township	2.36726206	http://www.westpottsgrove.org/
Montgomery	Whitemarsh Township	2/12/2023	19707	17349	13.5915615	Unknown	Unknown	2nd Class Township	14.80099305	http://www.whitemarshtwp.org/
Montgomery	Whitpain Township	2/12/2023	20333	18875	7.72450331	Unknown	Unknown	2nd Class Township	12.86191785	http://www.whitpainTownship.net/
Montgomery	Worcester Township	2/12/2023	10317	9750	5.81538462	Unknown	Unknown	2nd Class Township	16.26843391	http://worcestertwp.com/
Philadelphia	Philadelphia City	2/12/2023	1603797	1526006	5.09768638	Unknown	Unknown			
Bucks	Bedminster Township	2/12/2023	7541	6574	14.7094615	Unknown	Unknown			
Bucks	Bensalem Township	2/12/2023	62707	60427	3.77314777	Unknown	Unknown			
Bucks	Bridgeton Township	2/12/2023	1234	1277	-3.367267	Unknown	Unknown			
Bucks	Bristol Borough	2/12/2023	9861	9726	1.38803208	Unknown	Unknown			
Bucks	Bristol Township	2/12/2023	54291	54582	-0.5331428	Unknown	Unknown			
Bucks	Buckingham Township	2/12/2023	20851	20075	3.86550436	Unknown	Unknown			
Bucks	Chalfont Borough	2/12/2023	4253	4009	6.08630581	Unknown	Unknown			
Bucks	Doylestown Borough	2/12/2023	8300	8380	-0.9546539	Unknown	Unknown			
Bucks	Doylestown Township	2/12/2023	17971	17565	2.31141475	Unknown	Unknown			
Bucks	Dublin Borough	2/12/2023	2177	2158	0.88044486	Unknown	Unknown			
