District,2020 Population,Representative,Home County,Representative Party,Registered Voters,Registered Democrats,Registered Republicans,Registered Independents,Registered Other,Website,Square Miles
12,263546,Maria Collett,Montgomery,D,187012,86845,70106,1965,28096,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=12,1574.006937
17,174216,Amanda Cappelletti,Montgomery,D,117258,69368,29235,1123,17532,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=17,635.5812241
24,211042,Tracy Pennycuick,Montgomery,R,143617,58899,60796,1587,22335,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=24,2147.120962
44,54656,Katie Muth,Montgomery,D,37380,16173,14513,445,6249,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=44,371.242199
4,124125,Arthur Haywood,Montgomery,D,90286,57642,20901,792,10951,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=4,346.3605106
7,28968,Vincent Hughes,Philadelphia,D,21758,11257,7140,225,3136,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=7,170.5977556
