County	School District	Level Up	OSTCP Eligible	School District	Last Updated	Website	Number of Students	# of students in Special Ed	District Population	# of Elementary Schools	# Of Teachers	Number of Staff	% White Teachers	% White Students	% White Special Ed	% Black Students	% Black Special Ed	% Hispanic Students	% Hispanic Special Ed	% Asian Students	% Asian Special Ed	% Multiracial students	% Multiracial students in special Ed	Yearly Budgeted Expenses	Special Ed Budget	Special Ed Staff	Underfundedness per POWER Interfait			PA % Proficient in Math	PA % Proficient in Reading
Beaver	Big Beaver Falls Area	Y	N	Big Beaver Falls Area School District																											
Beaver	Blackhawk	N	N	Blackhawk School District																											
Beaver	Central Valley	N	N	Central Valley School District																											
Beaver	Freedom Area	Y	N	Freedom Area School District																											
Beaver	Hopewell Area	N	N	Hopewell Area School District																											
Beaver	Lincoln Park Performing Arts Cs	N	N	Lincoln Park Performing Arts Cs																											
Beaver	Midland Borough	Y	N	Midland Borough School District																											
Beaver	New Brighton Area	Y	N	New Brighton Area School District																											
Beaver	Pennsylvania Cyber Cs	N	N	Pennsylvania Cyber Cs																											
Beaver	Riverside Beaver County	N	N	Riverside Beaver County School District																											
Beaver	Rochester Area	Y	Y	Rochester Area School District																											
Beaver	South Side Area	N	N	South Side Area School District																											
Beaver	Western Beaver County	N	N	Western Beaver County School District																											
Bedford	Bedford Area	N	N	Bedford Area School District																											
Bedford	Bedford County Technical Center	N	N	Bedford County Technical Center																											
Bedford	Chestnut Ridge	N	N	Chestnut Ridge School District																											
Bedford	Everett Area	Y	N	Everett Area School District																											
Bedford	Hope For Hyndman Cs	N	N	Hope For Hyndman Cs																											
Bedford	Northern Bedford County	N	N	Northern Bedford County School District																											
Bedford	Tussey Mountain	N	N	Tussey Mountain School District																											
Berks	Antietam	Y	Y	Antietam School District																											
Berks	Berks Career And Technical Center	N	N	Berks Career And Technical Center																											
Berks	Boyertown Area	N	N	Boyertown Area School District																											
Berks	Brandywine Heights Area	N	N	Brandywine Heights Area School District																											
Berks	Conrad Weiser Area	N	N	Conrad Weiser Area School District																											
Berks	Daniel Boone Area	N	N	Daniel Boone Area School District																											
Berks	Exeter Township	N	N	Exeter Township School District																											
Berks	Fleetwood Area	N	N	Fleetwood Area School District																											
Berks	Governor Mifflin	N	N	Governor Mifflin School District																											
Berks	Hamburg Area	N	N	Hamburg Area School District																											
Berks	Kutztown Area	N	N	Kutztown Area School District																											
Berks	Muhlenberg	N	Y	Muhlenberg School District																											
Berks	Oley Valley	N	N	Oley Valley School District																											
Berks	Reading	Y	Y	Reading School District																											
Berks	Reading Muhlenberg Career And Technical Center	N	N	Reading Muhlenberg Career And Technical Center																											
Berks	Schuylkill Valley	N	N	Schuylkill Valley School District																											
Berks	Tulpehocken Area	N	N	Tulpehocken Area School District																											
Berks	Twin Valley	N	N	Twin Valley School District																											
Berks	Wilson	N	N	Wilson School District																											
Berks	Wyomissing Area	N	N	Wyomissing Area School District																											
Blair	Altoona Area	Y	Y	Altoona Area School District																											
Blair	Bellwood-Antis	N	N	Bellwood-Antis School District																											
Blair	Central Pa Digital Learning Foundation Cs	N	N	Central Pa Digital Learning Foundation Cs																											
Blair	Claysburg-Kimmel	Y	N	Claysburg-Kimmel School District																											
Blair	Greater Altoona Career And Technical Center	N	N	Greater Altoona Career And Technical Center																											
Blair	Hollidaysburg Area	N	N	Hollidaysburg Area School District																											
Blair	Spring Cove	N	N	Spring Cove School District																											
Blair	Tyrone Area	N	N	Tyrone Area School District																											
Blair	Williamsburg Community	Y	N	Williamsburg Community School District																											
Bradford	Athens Area	N	N	Athens Area School District																											
Bradford	Canton Area	Y	N	Canton Area School District																											
Bradford	Northeast Bradford	N	N	Northeast Bradford School District																											
Bradford	Northern Tier Career Center	N	N	Northern Tier Career Center																											
Bradford	Sayre Area	N	N	Sayre Area School District																											
Bradford	Towanda Area	N	N	Towanda Area School District																											
Bradford	Troy Area	N	Y	Troy Area School District																											
Bradford	Wyalusing Area	N	N	Wyalusing Area School District																											
Bucks	Bensalem Township	N	Y	Bensalem Township School District																											
Bucks	Bristol Borough	Y	Y	Bristol Borough School District																											
Bucks	Bristol Township	N	N	Bristol Township School District																											
Bucks	Bucks County Montessori Cs	N	N	Bucks County Montessori Cs																											
Bucks	Bucks County Technical High School	N	N	Bucks County Technical High School																											
Bucks	Centennial	N	N	Centennial School District																											
Bucks	Center For Student Learning Cs At Pennsbury	N	N	Center For Student Learning Cs At Pennsbury																											
Bucks	Central Bucks	N	N	Central Bucks School District																											
Bucks	Council Rock	N	N	Council Rock School District																											
Bucks	Middle Bucks Institute Of Technology	N	N	Middle Bucks Institute Of Technology School District																											
Bucks	Morrisville Borough	N	Y	Morrisville Borough School District																											
Bucks	Neshaminy	N	N	Neshaminy School District																											
Bucks	New Hope-Solebury	N	N	New Hope-Solebury School District																											
Bucks	Palisades	N	N	Palisades School District																											
Bucks	Pennridge	N	N	Pennridge School District																											
Bucks	Pennsbury	N	N	Pennsbury School District																											
Bucks	Quakertown Community	N	N	Quakertown Community School District																											
Bucks	School Lane Cs	N	N	School Lane Cs																											
Bucks	Upper Bucks County Technical	N	N	Upper Bucks County Technical School District																											
Butler	Butler Area	N	N	Butler Area School District																											
Butler	Butler County Avts	N	N	Butler County Avts School District																											
Butler	Freeport Area	N	N	Freeport Area School District																											
Butler	Karns City Area	N	N	Karns City Area School District																											
Butler	Mars Area	N	N	Mars Area School District																											
Butler	Moniteau	N	N	Moniteau School District																											
Butler	Seneca Valley	N	N	Seneca Valley School District																											
Butler	Slippery Rock Area	N	N	Slippery Rock Area School District																											
Butler	South Butler County	N	N	South Butler County School District																											
Cambria	Admiral Peary Avts	N	N	Admiral Peary Avts School District																											
Cambria	Blacklick Valley	Y	Y	Blacklick Valley School District																											
Cambria	Cambria Heights	N	N	Cambria Heights School District																											
Cambria	Central Cambria	N	N	Central Cambria School District																											
Cambria	Conemaugh Valley	N	N	Conemaugh Valley School District																											
Cambria	Ferndale Area	Y	N	Ferndale Area School District																											
Cambria	Forest Hills	N	N	Forest Hills School District																											
Cambria	Glendale	Y	N	Glendale School District																											
Cambria	Greater Johnstown	Y	Y	Greater Johnstown School District																											
Cambria	Greater Johnstown Career And Technical Center	N	N	Greater Johnstown Career And Technical Center																											
Cambria	Northern Cambria	N	N	Northern Cambria School District																											
Cambria	Penn Cambria	Y	N	Penn Cambria School District																											
Cambria	Portage Area	N	N	Portage Area School District																											
Cambria	Richland	N	N	Richland School District																											
Cambria	Westmont Hilltop	N	N	Westmont Hilltop School District																											
Cameron	Cameron County	N	N	Cameron County School District																											
Carbon	Carbon Career & Technical Institute	N	N	Carbon Career & Technical Institute School District																											
Carbon	Jim Thorpe Area	N	N	Jim Thorpe Area School District																											
Carbon	Lehighton Area	N	N	Lehighton Area School District																											
Carbon	Palmerton Area	N	N	Palmerton Area School District																											
Carbon	Panther Valley	Y	Y	Panther Valley School District																											
Carbon	Weatherly Area	N	N	Weatherly Area School District																											
Centre	Bald Eagle Area	N	N	Bald Eagle Area School District																											
Centre	Bellefonte Area	N	N	Bellefonte Area School District																											
Centre	Central Pa Institute Of Science & Technology	N	N	Central Pa Institute Of Science & Technology School District																											
Centre	Centre Learning Community Cs	N	N	Centre Learning Community Cs																											
Centre	Nittany Valley Cs	N	N	Nittany Valley Cs																											
Centre	Penns Valley Area	N	N	Penns Valley Area School District																											
Centre	State College Area	N	N	State College Area School District																											
Centre	Wonderland Cs	N	N	Wonderland Cs																											
Centre	Young Scholars Of Central Pa Cs	N	N	Young Scholars Of Central Pa Cs																											
Chester	21st Century Cyber Cs	N	N	21st Century Cyber Cs																											
Chester	Achievement House Cs	N	N	Achievement House Cs																											
Chester	Avon Grove	N	N	Avon Grove School District																											
Chester	Avon Grove Cs	N	N	Avon Grove Cs																											
Chester	Chester County Family Academy Cs	N	N	Chester County Family Academy Cs																											
Chester	Chester County Technical College High School	N	N	Chester County Technical College High School																											
Chester	Coatesville Area	Y	Y	Coatesville Area School District																											
Chester	Collegium Cs	N	N	Collegium Cs																											
Chester	Downingtown Area	N	N	Downingtown Area School District																											
Chester	Education Plus Academy Cyber Cs	N	N	Education Plus Academy Cyber Cs																											
Chester	Great Valley	N	N	Great Valley School District																											
Chester	Insight PA Cyber Charter School	N	N	Insight PA Cyber Charter School																											
Chester	Kennett Consolidated	N	N	Kennett Consolidated School District																											
Chester	Octorara Area	N	N	Octorara Area School District																											
Chester	Owen J Roberts	N	N	Owen J Roberts School District																											
Chester	Oxford Area	Y	N	Oxford Area School District																											
Chester	Pennsylvania Leadership Charter School	N	N	Pennsylvania Leadership Charter School																											
Chester	Phoenixville Area	N	N	Phoenixville Area School District																											
Chester	Renaissance Academy Cs	N	N	Renaissance Academy Cs																											
Chester	Tredyffrin-Easttown	N	N	Tredyffrin-Easttown School District																											
Chester	Unionville-Chadds Ford	N	N	Unionville-Chadds Ford School District																											
Chester	West Chester Area	N	N	West Chester Area School District																											
Clarion	Allegheny-Clarion Valley	N	N	Allegheny-Clarion Valley School District																											
Clarion	Clarion Area	N	N	Clarion Area School District																											
Clarion	Clarion County Career Center	N	N	Clarion County Career Center																											
Clarion	Clarion-Limestone Area	N	N	Clarion-Limestone Area School District																											
Clarion	Keystone	N	N	Keystone School District																											
Clarion	North Clarion County	N	N	North Clarion County School District																											
Clarion	Redbank Valley	Y	N	Redbank Valley School District																											
Clarion	Union	N	N	Union School District																											
Clearfield	Clearfield Area	N	Y	Clearfield Area School District																											
Clearfield	Clearfield County Career And Technical Center	N	N	Clearfield County Career And Technical Center																											
Clearfield	Curwensville Area	N	N	Curwensville Area School District																											
Clearfield	Dubois Area	Y	N	Dubois Area School District																											
Clearfield	Harmony Area	N	N	Harmony Area School District																											
Clearfield	Moshannon Valley	N	N	Moshannon Valley School District																											
Clearfield	Philipsburg-Osceola Area	N	N	Philipsburg-Osceola Area School District																											
Clearfield	West Branch Area	Y	N	West Branch Area School District																											
Clinton	Keystone Central	N	N	Keystone Central School District																											
Clinton	Keystone Central Career And Technical Center	N	N	Keystone Central Career And Technical Center																											
Clinton	Sugar Valley Rural Cs	N	N	Sugar Valley Rural Cs																											
Columbia	Benton Area	N	N	Benton Area School District																											
Columbia	Bloomsburg Area	N	N	Bloomsburg Area School District																											
Columbia	Central Columbia	N	N	Central Columbia School District																											
Columbia	Columbia-Montour Avts	N	N	Columbia-Montour Avts School District																											
Columbia	Millville Area	N	N	Millville Area School District																											
Columbia	Southern Columbia Area	N	N	Southern Columbia Area School District																											
Columbia	Susq-Cyber Cs	N	N	Susq-Cyber Cs																											
Crawford	Conneaut	N	N	Conneaut School District																											
Crawford	Crawford Central	N	N	Crawford Central School District																											
Crawford	Crawford County Career And Technical Center	N	N	Crawford County Career And Technical Center																											
Crawford	Penncrest	N	N	Penncrest School District																											
Crawford	Titusville Area	Y	N	Titusville Area School District																											
Cumberland	Big Spring	N	N	Big Spring School District																											
Cumberland	Camp Hill	N	N	Camp Hill School District																											
Cumberland	Carlisle Area	N	N	Carlisle Area School District																											
Cumberland	Cumberland Perry Avts	N	N	Cumberland Perry Avts School District																											
Cumberland	Cumberland Valley	N	N	Cumberland Valley School District																											
Cumberland	East Pennsboro Area	N	N	East Pennsboro Area School District																											
Cumberland	Mechanicsburg Area	N	N	Mechanicsburg Area School District																											
Cumberland	South Middleton	N	N	South Middleton School District																											
Dauphin	Capital Area School For The Arts Charter School	N	N	Capital Area School For The Arts Charter School																											
Dauphin	Central Dauphin	N	N	Central Dauphin School District																											
Dauphin	Commonwealth Connections Academy Cs	N	N	Commonwealth Connections Academy Cs																											
Dauphin	Dauphin County Technical School	N	N	Dauphin County Technical School																											
Dauphin	Derry Township	N	N	Derry Township School District																											
Dauphin	Halifax Area	N	N	Halifax Area School District																											
Dauphin	Harrisburg City	Y	Y	Harrisburg City School District																											
Dauphin	Infinity Cs	N	N	Infinity Cs																											
Dauphin	Lower Dauphin	N	N	Lower Dauphin School District																											
Dauphin	Middletown Area	N	N	Middletown Area School District																											
Dauphin	Millersburg Area	N	N	Millersburg Area School District																											
Dauphin	Premier Arts And Science Charter School	N	N	Premier Arts And Science Charter School																											
Dauphin	Reach Cyber Cs	N	N	Reach Cyber Cs																											
Dauphin	Steelton-Highspire	Y	Y	Steelton-Highspire School District																											
Dauphin	Susquehanna Township	N	Y	Susquehanna Township School District																											
Dauphin	Sylvan Heights Science Cs	N	N	Sylvan Heights Science Cs																											
Dauphin	Upper Dauphin Area	N	N	Upper Dauphin Area School District																											
Dauphin	Williams Valley	N	N	Williams Valley School District																											
Delaware	Chester Community Cs	N	N	Chester Community Cs																											
Delaware	Chester Cs For The Arts	N	N	Chester Cs For The Arts School District																											
Delaware	Chester-Upland	Y	Y	Chester-Upland School District																											
Delaware	Chichester	N	Y	Chichester School District																											
Delaware	Delaware County Technical High School	N	N	Delaware County Technical High School																											
Delaware	Garnet Valley	N	N	Garnet Valley School District																											
Delaware	Haverford Township	N	N	Haverford Township School District																											
Delaware	Interboro	N	N	Interboro School District																											
Delaware	Marple Newtown	N	N	Marple Newtown School District																											
Delaware	Penn-Delco	N	N	Penn-Delco School District																											
Delaware	Radnor Township	N	N	Radnor Township School District																											
Delaware	Ridley	N	N	Ridley School District																											
Delaware	Rose Tree Media	N	N	Rose Tree Media School District																											
Delaware	Southeast Delco	Y	Y	Southeast Delco School District																											
Delaware	Springfield	N	N	Springfield School District																											
Delaware	Upper Darby	Y	Y	Upper Darby School District																											
